|('Part', 'Obs', 'time', 'x', 'y', 'Video')|
"['1649319328.0663066', 177, 1649319350.0840209, 1013.6548517149172, 457.88751312969566, 'Media2.mp4_33']"
"['1649319328.0663066', 178, 1649319350.1403313, 1002.594653691538, 456.9680971920991, 'Media2.mp4_34']"
"['1649319328.0663066', 179, 1649319350.1585433, 1002.594653691538, 456.9680971920991, 'Media2.mp4_35']"
"['1649319328.0663066', 180, 1649319350.2358108, 1000.4572667345055, 457.5418677485943, 'Media2.mp4_36']"
"['1649319328.0663066', 181, 1649319350.2589223, 1000.4572667345055, 457.5418677485943, 'Media2.mp4_37']"
"['1649319328.0663066', 182, 1649319350.334021, 971.348781060663, 482.26110955728745, 'Media2.mp4_38']"
"['1649319328.0663066', 183, 1649319350.3749413, 971.348781060663, 482.26110955728745, 'Media2.mp4_39']"
"['1649319328.0663066', 184, 1649319350.4452026, 956.149599279709, 494.38568765098216, 'Media2.mp4_40']"
"['1649319328.0663066', 185, 1649319350.46807, 956.149599279709, 494.38568765098216, 'Media2.mp4_41']"
"['1649319328.0663066', 186, 1649319350.5400715, 921.2759360795053, 537.5115722415283, 'Media2.mp4_42']"
"['1649319328.0663066', 187, 1649319350.556923, 921.2759360795053, 537.5115722415283, 'Media2.mp4_43']"
"['1649319328.0663066', 188, 1649319350.6359706, 887.6351056250542, 542.9495118085306, 'Media2.mp4_44']"
"['1649319328.0663066', 189, 1649319350.6570272, 887.6351056250542, 542.9495118085306, 'Media2.mp4_45']"
"['1649319328.0663066', 190, 1649319350.732406, 744.9764363078134, 168.13612510020448, 'Media2.mp4_46']"
"['1649319328.0663066', 191, 1649319350.8446286, 936.8692203768464, 76.68605108861198, 'Media2.mp4_47']"
"['1649319328.0663066', 192, 1649319350.8625395, 936.8692203768464, 76.68605108861198, 'Media2.mp4_48']"
"['1649319328.0663066', 193, 1649319350.941085, 981.858794665744, -57.0531684667842, 'Media2.mp4_49']"
"['1649319328.0663066', 194, 1649319350.964153, 981.858794665744, -57.0531684667842, 'Media2.mp4_50']"
"['1649319328.0663066', 195, 1649319351.036032, 1038.1101860104159, -209.29095793815463, 'Media2.mp4_51']"
"['1649319328.0663066', 196, 1649319351.061906, 1038.1101860104159, -209.29095793815463, 'Media2.mp4_52']"
"['1649319328.0663066', 197, 1649319351.1321812, 1082.7813033472485, -110.74512137001989, 'Media2.mp4_53']"
"['1649319328.0663066', 198, 1649319351.248103, 884.7413318676499, 277.6705616947222, 'Media2.mp4_54']"
"['1649319328.0663066', 199, 1649319351.291646, 884.7413318676499, 277.6705616947222, 'Media2.mp4_55']"
"['1649319328.0663066', 200, 1649319351.3400898, 742.1349609080316, 464.8897009249936, 'Media2.mp4_56']"
"['1649319328.0663066', 201, 1649319351.3592634, 742.1349609080316, 464.8897009249936, 'Media2.mp4_57']"
"['1649319328.0663066', 202, 1649319351.4358213, 727.0661696822226, 464.29241550088136, 'Media2.mp4_58']"
"['1649319328.0663066', 203, 1649319351.461751, 727.0661696822226, 464.29241550088136, 'Media2.mp4_59']"
"['1649319328.0663066', 204, 1649319351.5319974, 694.4328514654617, 523.8802922540262, 'Media2.mp4_60']"
"['1649319328.0663066', 205, 1649319351.553153, 694.4328514654617, 523.8802922540262, 'Media2.mp4_61']"
"['1649319328.0663066', 206, 1649319351.6451833, 631.483320396188, 516.1760954305296, 'Media2.mp4_62']"
"['1649319328.0663066', 207, 1649319351.666005, 631.483320396188, 516.1760954305296, 'Media2.mp4_63']"
"['1649319328.0663066', 208, 1649319351.7401426, 565.5941425294127, 514.3840639429723, 'Media2.mp4_64']"
"['1649319328.0663066', 209, 1649319351.7602298, 565.5941425294127, 514.3840639429723, 'Media2.mp4_65']"
"['1649319328.0663066', 210, 1649319351.8363473, 543.294637691959, 545.8134812424066, 'Media2.mp4_66']"
"['1649319328.0663066', 211, 1649319351.9325404, 606.6525004112727, 562.3937228419156, 'Media2.mp4_67']"
"['1649319328.0663066', 212, 1649319351.9544868, 606.6525004112727, 562.3937228419156, 'Media2.mp4_68']"
"['1649319328.0663066', 213, 1649319352.0442753, 827.2324330313136, 648.807281322441, 'Media2.mp4_69']"
"['1649319328.0663066', 214, 1649319352.0754578, 827.2324330313136, 648.807281322441, 'Media2.mp4_70']"
"['1649319328.0663066', 215, 1649319352.1406958, 836.3930998105866, 614.8279390092403, 'Media2.mp4_71']"
"['1649319328.0663066', 216, 1649319352.1679263, 836.3930998105866, 614.8279390092403, 'Media2.mp4_72']"
"['1649319328.0663066', 217, 1649319352.2352839, 839.1194582712924, 555.4394160975683, 'Media2.mp4_73']"
"['1649319328.0663066', 218, 1649319352.2582908, 839.1194582712924, 555.4394160975683, 'Media2.mp4_74']"
"['1649319328.0663066', 219, 1649319352.3330839, 855.1420201365372, 548.2698145440218, 'Media2.mp4_75']"
"['1649319328.0663066', 220, 1649319352.3558702, 855.1420201365372, 548.2698145440218, 'Media2.mp4_76']"
"['1649319328.0663066', 221, 1649319352.4450047, 841.9661301864899, 513.2471372327072, 'Media2.mp4_77']"
"['1649319328.0663066', 222, 1649319352.4679952, 841.9661301864899, 513.2471372327072, 'Media2.mp4_78']"
"['1649319328.0663066', 223, 1649319352.5412264, 724.4489258163076, 506.44286213717055, 'Media2.mp4_79']"
"['1649319328.0663066', 224, 1649319352.5641708, 724.4489258163076, 506.44286213717055, 'Media2.mp4_80']"
"['1649319328.0663066', 225, 1649319352.6360695, 721.9400604933462, 525.989394200433, 'Media2.mp4_81']"
"['1649319328.0663066', 226, 1649319352.661757, 721.9400604933462, 525.989394200433, 'Media2.mp4_82']"
"['1649319328.0663066', 227, 1649319352.7330053, 699.6345377209427, 517.0204242486705, 'Media2.mp4_1']"
