Experiment,Part,Stimulus,time,x,y,x_offset,y_offset
UV22MS,1663266938,29.jpg,1663266952.9040098,2977.4454777796323,4092.636492773461,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.9353554,2806.835466535043,4029.1900214636426,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.9678576,2892.4712248469145,3973.2929884543846,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266952.9993556,2932.666832359629,3896.3198788886525,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.0480978,2588.7991502782374,3625.5043742799185,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.080213,2534.435259452877,3575.1223297080196,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.0872147,2534.435259452877,3575.1223297080196,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.111727,2716.8831210704298,3651.0185663248076,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.1440253,2619.600432072631,3607.832083344166,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.175617,2579.047259905038,3572.109815855901,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.2447305,2666.950215510884,3430.7144015221334,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.2720253,2817.9597632310056,3536.414408477306,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.3040965,2501.5252769006897,3384.17510039706,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.3405445,2610.397142405521,3646.021126986748,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.3686564,2503.332924189432,3543.642807534206,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.3998694,2570.156238447273,3557.7332217727094,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.4474788,2510.8896344297546,3554.4763676919356,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.4800901,2481.723273498226,3505.697273709138,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.4871974,2481.723273498226,3505.697273709138,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.5162997,2556.0599230912753,3602.830158241719,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.544609,2817.463242998786,3709.8001966294946,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.575093,2656.236288845523,3640.151492264581,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.6400108,2955.5971744581734,3540.640464881783,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.671705,2475.921037804594,3418.0605665157477,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.7036083,2613.4349064449957,3453.581390834839,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.7353315,2422.6603193833002,3415.1932090708947,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.7678463,2575.257593115258,3392.621113477391,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.814851,2352.396572401974,3214.8081293420896,-438.6423743914638,-506.90127671903247
